"country","mes","cancelaciones_mensuales","personas_mensuales","reservas_mensuales","cancelaciones_acumuladas","personas_acumuladas","reservas_acumuladas","ratio_cancelaciones","region","country_name"
"ECU",2017-08-01,1,9,3,8,57,27,29.6,"Americas","Ecuador"
"EGY",2017-08-01,1,2,1,11,55,32,34.4,"Africa","Egypt"
"ESP",2017-08-01,232,1352,554,2176,18054,8488,25.6,"Europe","Spain"
"EST",2017-08-01,0,2,1,18,175,83,21.7,"Europe","Estonia"
"ETH",2017-08-01,0,2,1,1,6,3,33.3,"Africa","Ethiopia"
"FIN",2017-08-01,0,11,6,68,908,444,15.3,"Europe","Finland"
"FRA",2017-08-01,183,1217,525,1932,21523,10359,18.7,"Europe","France"
"FRO",2017-08-01,0,3,1,4,15,5,80,"Europe","Faroe Islands"
"GAB",2017-08-01,1,2,1,2,7,4,50,"Africa","Gabon"
"GBR",2017-08-01,177,1370,604,2451,24438,12051,20.3,"Europe","United Kingdom"
"GEO",2017-08-01,6,24,10,15,47,22,68.2,"Europe","Georgia"
"GIB",2017-08-01,4,8,4,11,41,18,61.1,"Europe","Gibraltar"
"GRC",2017-08-01,1,7,3,35,225,128,27.3,"Europe","Greece"
"HRV",2017-08-01,1,4,2,25,200,100,25,"Europe","Croatia"
"HUN",2017-08-01,2,21,10,77,463,228,33.8,"Europe","Hungary"
"IDN",2017-08-01,1,4,1,24,69,35,68.6,"Asia","Indonesia"
"IND",2017-08-01,1,1,1,35,335,151,23.2,"Asia","India"
"IRL",2017-08-01,45,303,139,832,6902,3369,24.7,"Europe","Ireland"
"IRN",2017-08-01,0,11,4,23,171,82,28,"Africa","Iran"
"ISL",2017-08-01,0,2,1,4,108,56,7.1,"Europe","Iceland"
"ISR",2017-08-01,10,55,21,169,1346,666,25.4,"Africa","Israel"
"ITA",2017-08-01,98,458,205,1332,7839,3749,35.5,"Europe","Italy"
"JOR",2017-08-01,0,2,1,3,39,21,14.3,"Africa","Jordan"
"JPN",2017-08-01,4,29,21,28,379,197,14.2,"Asia","Japan"
"KOR",2017-08-01,0,5,3,55,264,133,41.4,"Asia","South Korea"
